path,classification,reason,size,canonical_duplicate,api_is_real,api_is_mock
运行记录/freeze-force-01a8381c/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-01a8381c/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-01a8381c/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-01a8381c/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-2a27bef9/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-2a27bef9/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-2a27bef9/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-2a27bef9/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-53e0e7db/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-53e0e7db/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-53e0e7db/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-53e0e7db/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-59b3dd86/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-59b3dd86/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-59b3dd86/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-59b3dd86/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-87cd8fb7/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-87cd8fb7/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-87cd8fb7/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-87cd8fb7/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-93afc26e/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-93afc26e/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-93afc26e/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-93afc26e/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-a9eab410/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,142787,,False,True
运行记录/freeze-force-a9eab410/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-a9eab410/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-a9eab410/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-dd99bafd/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-dd99bafd/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-dd99bafd/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-dd99bafd/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/freeze-force-eab95bcf/AUDIT_BASELINE.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 AUDIT_BASELINE.json，可由脚本重建,153156,,False,True
运行记录/freeze-force-eab95bcf/CALIBRATION_PLAN.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 CALIBRATION_PLAN.json，可由脚本重建,310,,False,False
运行记录/freeze-force-eab95bcf/FREEZE_RECORD.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 FREEZE_RECORD.json，可由脚本重建,394,,False,False
运行记录/freeze-force-eab95bcf/RUNTIME_SNAPSHOT.json,GENERATED_STATUS_COPY,freeze 临时目录状态文件 RUNTIME_SNAPSHOT.json，可由脚本重建,343,,False,True
运行记录/l15-debug/ch.md,GENERATED_REPRODUCIBLE,匹配可重建路径模式 ^运行记录/l15-debug，内容无真实 API/人工证据,54,,False,False
运行记录/l15-debug/p.json,GENERATED_REPRODUCIBLE,匹配可重建路径模式 ^运行记录/l15-debug，内容无真实 API/人工证据,538,,False,False
运行记录/l15-debug2/ch.md,GENERATED_REPRODUCIBLE,匹配可重建路径模式 ^运行记录/l15-debug，内容无真实 API/人工证据,54,,False,False
运行记录/l15-debug2/p.json,GENERATED_REPRODUCIBLE,匹配可重建路径模式 ^运行记录/l15-debug，内容无真实 API/人工证据,539,,False,False
运行记录/l1_phase2a1_gs001_dryrun.json,PRESERVE_PERMANENTLY,内容含真实 API 或人工评审信息，且无正式副本,25537,,False,False
运行记录/l1_phase2a1_gs005_dryrun.json,PRESERVE_PERMANENTLY,内容含真实 API 或人工评审信息，且无正式副本,28188,,False,False
运行记录/pytest-e2e-004e8798/004e8798.md,GENERATED_REPRODUCIBLE,匹配可重建路径模式 ^运行记录/pytest-e2e-，内容无真实 API/人工证据,56,,False,False
